open,close,high,low,value,volume,begin,end
292.2,295.38,295.88,292.2,7970692143.2,27129280.0,2024-03-01,2024-03-01 23:59:59
295.87,299.17,299.5,295.8,12107585572.0,40609910.0,2024-03-04,2024-03-04 23:59:59
299.33,298.4,300.41,297.57,12488922816.8,41756340.0,2024-03-05,2024-03-05 23:59:59
298.2,297.71,299.33,296.82,5293866478.8,17756170.0,2024-03-06,2024-03-06 23:59:59
297.72,300.4,300.58,297.24,6570159861.5,21982790.0,2024-03-07,2024-03-07 23:59:59
301.0,299.79,302.95,298.5,12573478353.0,41781940.0,2024-03-11,2024-03-11 23:59:59
299.6,300.9,301.07,297.34,8607354015.3,28743980.0,2024-03-12,2024-03-12 23:59:59
301.2,298.85,301.49,298.7,7202085490.6,24012100.0,2024-03-13,2024-03-13 23:59:59
298.5,295.83,298.7,295.14,12524056211.8,42205930.0,2024-03-14,2024-03-14 23:59:59
295.71,298.3,299.44,295.29,7760549517.4,26040280.0,2024-03-15,2024-03-15 23:59:59
299.4,298.87,299.98,297.63,6067059310.3,20281860.0,2024-03-18,2024-03-18 23:59:59
298.3,295.2,299.4,294.21,17713321524.8,59714940.0,2024-03-19,2024-03-19 23:59:59
295.3,295.4,296.88,293.52,9072637303.8,30703230.0,2024-03-20,2024-03-20 23:59:59
295.99,295.62,297.3,291.8,20813977282.9,70680800.0,2024-03-21,2024-03-21 23:59:59
295.77,292.99,296.79,291.05,14416754330.6,48982100.0,2024-03-22,2024-03-22 23:59:59
294.0,293.9,294.93,292.13,7506770037.9,25567820.0,2024-03-25,2024-03-25 23:59:59
294.5,294.11,295.82,293.04,4794328486.1,16295560.0,2024-03-26,2024-03-26 23:59:59
294.47,295.1,295.11,293.47,4286276310.5,14560090.0,2024-03-27,2024-03-27 23:59:59
295.5,299.0,299.3,295.5,10034947247.5,33675160.0,2024-03-28,2024-03-28 23:59:59
299.38,298.72,299.5,298.0,5288501325.2,17705950.0,2024-03-29,2024-03-29 23:59:59
300.0,300.43,301.65,299.5,8612449823.1,28662870.0,2024-04-01,2024-04-01 23:59:59
300.43,300.38,300.99,298.95,5995530685.0,19980460.0,2024-04-02,2024-04-02 23:59:59
300.4,306.72,307.13,300.17,17732924741.7,58228980.0,2024-04-03,2024-04-03 23:59:59
306.8,304.61,307.77,304.36,8884912105.9,29074900.0,2024-04-04,2024-04-04 23:59:59
304.62,306.1,306.5,303.7,5915523146.6,19355990.0,2024-04-05,2024-04-05 23:59:59
306.5,307.75,308.6,306.22,7656859212.5,24899610.0,2024-04-08,2024-04-08 23:59:59
308.1,306.76,309.35,305.51,9857166056.7,32044440.0,2024-04-09,2024-04-09 23:59:59
306.76,306.48,307.14,304.62,6331291824.7,20682180.0,2024-04-10,2024-04-10 23:59:59
306.7,306.95,308.0,305.7,6298575558.1,20527000.0,2024-04-11,2024-04-11 23:59:59
307.4,307.1,307.87,306.3,4920099637.9,16025300.0,2024-04-12,2024-04-12 23:59:59
307.47,307.99,308.39,306.64,6381167168.7,20746510.0,2024-04-15,2024-04-15 23:59:59
308.0,308.29,308.65,307.0,5273954891.3,17135850.0,2024-04-16,2024-04-16 23:59:59
308.65,306.59,309.74,305.91,8679485717.7,28227330.0,2024-04-17,2024-04-17 23:59:59
306.01,307.99,308.29,305.05,6264315854.3,20387560.0,2024-04-18,2024-04-18 23:59:59
308.0,307.38,308.38,306.8,4482220740.8,14578320.0,2024-04-19,2024-04-19 23:59:59
308.0,314.99,315.0,307.38,21503352871.0,69006740.0,2024-04-22,2024-04-22 23:59:59
315.39,307.39,315.79,306.26,28881328913.5,92863630.0,2024-04-23,2024-04-23 23:59:59
307.5,307.94,309.79,306.65,8189808740.4,26557490.0,2024-04-24,2024-04-24 23:59:59
307.95,308.41,309.07,307.45,4916605561.8,15946760.0,2024-04-25,2024-04-25 23:59:59
308.5,309.0,309.9,308.0,6538760959.0,21146360.0,2024-04-26,2024-04-26 23:59:59
309.25,308.98,309.99,308.7,4055173632.8,13111060.0,2024-04-27,2024-04-27 23:59:59
309.14,308.97,309.6,307.65,3092125081.6,10025690.0,2024-04-29,2024-04-29 23:59:59
309.19,308.24,309.49,308.03,1844647205.8,5980690.0,2024-04-30,2024-04-30 23:59:59
308.7,307.37,309.19,306.8,5006399567.2,16262520.0,2024-05-02,2024-05-02 23:59:59
307.11,307.53,308.29,304.34,9339424027.0,30466990.0,2024-05-03,2024-05-03 23:59:59
308.1,306.01,308.1,305.55,5890819811.7,19203550.0,2024-05-06,2024-05-06 23:59:59
306.23,308.22,308.87,306.21,5112444401.6,16616810.0,2024-05-07,2024-05-07 23:59:59
308.41,311.21,311.83,308.08,10529373347.6,33881400.0,2024-05-08,2024-05-08 23:59:59
311.5,313.49,313.5,311.31,5230529723.5,16715650.0,2024-05-10,2024-05-10 23:59:59
314.1,314.85,315.7,314.04,6839146524.5,21712460.0,2024-05-13,2024-05-13 23:59:59
315.0,318.12,318.41,313.58,11154192130.2,35247320.0,2024-05-14,2024-05-14 23:59:59
318.2,319.7,320.16,317.7,9056860789.1,28351820.0,2024-05-15,2024-05-15 23:59:59
320.0,322.91,322.91,320.0,8952630927.5,27847220.0,2024-05-16,2024-05-16 23:59:59
322.96,323.16,323.5,320.02,7859033926.8,24398590.0,2024-05-17,2024-05-17 23:59:59
324.0,321.08,324.85,318.94,11817360016.0,36736790.0,2024-05-20,2024-05-20 23:59:59
320.88,320.64,322.23,318.0,10876485461.1,34019460.0,2024-05-21,2024-05-21 23:59:59
320.8,322.93,323.1,320.8,6011980649.9,18651840.0,2024-05-22,2024-05-22 23:59:59
322.8,323.54,324.0,321.23,5768287058.1,17865490.0,2024-05-23,2024-05-23 23:59:59
323.83,321.0,324.48,319.78,8554310667.2,26594700.0,2024-05-24,2024-05-24 23:59:59
321.01,317.09,321.95,315.5,14541663957.6,45712960.0,2024-05-27,2024-05-27 23:59:59
317.5,318.22,320.9,315.82,9627673836.0,30187790.0,2024-05-28,2024-05-28 23:59:59
318.25,320.38,320.4,315.92,7313974807.4,22989260.0,2024-05-29,2024-05-29 23:59:59
320.91,316.63,321.55,316.0,8605178038.5,27005390.0,2024-05-30,2024-05-30 23:59:59
316.0,313.11,318.49,309.8,15479042373.3,49206450.0,2024-05-31,2024-05-31 23:59:59
313.5,310.95,315.5,305.0,19130763055.2,61860770.0,2024-06-03,2024-06-03 23:59:59
310.98,316.49,316.5,308.8,10346962905.5,33070240.0,2024-06-04,2024-06-04 23:59:59
316.63,314.72,318.28,313.85,8793190541.6,27792110.0,2024-06-05,2024-06-05 23:59:59
314.7,313.08,316.45,311.15,8883619041.5,28328920.0,2024-06-06,2024-06-06 23:59:59
313.8,319.9,320.64,312.73,14157276798.3,44484260.0,2024-06-07,2024-06-07 23:59:59
320.8,317.28,321.98,315.21,8400530697.5,26344630.0,2024-06-10,2024-06-10 23:59:59
317.5,317.8,319.84,315.88,6377952742.9,20064950.0,2024-06-11,2024-06-11 23:59:59
305.7,317.71,317.82,304.14,12977584451.7,41281520.0,2024-06-13,2024-06-13 23:59:59
317.8,319.35,320.7,316.2,6849866414.7,21488970.0,2024-06-14,2024-06-14 23:59:59
320.0,317.65,320.45,316.85,4932076583.1,15476190.0,2024-06-17,2024-06-17 23:59:59
317.65,314.34,318.0,313.02,6947091443.3,22024090.0,2024-06-18,2024-06-18 23:59:59
314.38,310.7,314.78,307.51,13105247559.5,42183660.0,2024-06-19,2024-06-19 23:59:59
310.7,314.15,314.72,306.02,22616269152.5,72789950.0,2024-06-20,2024-06-20 23:59:59
315.0,314.14,316.0,312.6,9152147994.0,29116600.0,2024-06-21,2024-06-21 23:59:59
314.7,317.25,319.0,314.14,9387538945.4,29607080.0,2024-06-24,2024-06-24 23:59:59
317.5,319.8,319.89,316.28,8270536250.9,25978180.0,2024-06-25,2024-06-25 23:59:59
320.1,324.55,324.56,319.8,13721465556.5,42491110.0,2024-06-26,2024-06-26 23:59:59
324.8,327.16,327.83,322.63,15221129798.9,46771370.0,2024-06-27,2024-06-27 23:59:59
327.87,327.15,329.3,325.8,13250355870.2,40451800.0,2024-06-28,2024-06-28 23:59:59
327.64,327.1,329.0,326.25,10396387155.0,31710510.0,2024-07-01,2024-07-01 23:59:59
327.35,328.37,328.87,326.82,6941082279.2,21155650.0,2024-07-02,2024-07-02 23:59:59
328.58,328.2,330.45,327.0,10584686930.8,32156700.0,2024-07-03,2024-07-03 23:59:59
328.39,324.66,329.57,323.81,13317132561.5,40766110.0,2024-07-04,2024-07-04 23:59:59
324.71,325.0,327.0,321.01,13096717923.0,40433010.0,2024-07-05,2024-07-05 23:59:59
325.76,324.07,327.44,323.74,9025370831.1,27756900.0,2024-07-08,2024-07-08 23:59:59
324.3,319.99,325.33,317.5,17436610896.9,54199810.0,2024-07-09,2024-07-09 23:59:59
319.0,316.68,320.3,314.3,28065530252.0,88512550.0,2024-07-10,2024-07-10 23:59:59
289.96,295.87,296.98,285.22,48738315678.7,168030600.0,2024-07-11,2024-07-11 23:59:59
296.0,292.21,297.48,290.97,14669454270.5,49999170.0,2024-07-12,2024-07-12 23:59:59
293.0,284.38,293.86,283.5,16923746968.1,58737560.0,2024-07-15,2024-07-15 23:59:59
284.49,285.25,285.69,276.7,23286385147.6,82870860.0,2024-07-16,2024-07-16 23:59:59
285.84,284.68,289.96,283.23,12284503604.5,42824670.0,2024-07-17,2024-07-17 23:59:59
284.68,289.83,289.99,282.73,9784301935.1,34090360.0,2024-07-18,2024-07-18 23:59:59
290.67,289.9,292.58,289.2,9026251889.6,31022060.0,2024-07-19,2024-07-19 23:59:59
291.0,294.71,294.95,291.0,9779002585.2,33386610.0,2024-07-22,2024-07-22 23:59:59
295.47,294.39,295.48,293.36,6529116896.2,22190840.0,2024-07-23,2024-07-23 23:59:59
294.39,295.69,296.67,293.2,7263003449.2,24565710.0,2024-07-24,2024-07-24 23:59:59
295.69,296.37,297.3,294.2,6768216500.8,22868740.0,2024-07-25,2024-07-25 23:59:59
296.4,293.3,300.0,292.67,25147137351.5,84909830.0,2024-07-26,2024-07-26 23:59:59
293.0,286.58,293.0,286.0,15134258844.7,52445850.0,2024-07-29,2024-07-29 23:59:59
286.5,290.0,291.99,284.32,12290569982.7,42572480.0,2024-07-30,2024-07-30 23:59:59
290.47,289.3,291.2,288.01,7524943880.7,25974520.0,2024-07-31,2024-07-31 23:59:59
289.87,287.21,290.69,287.04,5391099058.0,18646450.0,2024-08-01,2024-08-01 23:59:59
287.21,286.04,287.99,284.37,8601524731.8,30086580.0,2024-08-02,2024-08-02 23:59:59
282.79,275.49,283.46,275.17,22871130952.3,82141460.0,2024-08-05,2024-08-05 23:59:59
277.01,279.4,281.16,276.35,12169833605.6,43600150.0,2024-08-06,2024-08-06 23:59:59
280.0,282.2,283.27,277.21,13599338250.0,48494490.0,2024-08-07,2024-08-07 23:59:59
283.4,281.09,285.42,280.0,12008636097.6,42425830.0,2024-08-08,2024-08-08 23:59:59
281.0,281.44,282.67,279.62,6275073796.0,22302730.0,2024-08-09,2024-08-09 23:59:59
280.01,280.74,281.5,278.03,7768907946.4,27767330.0,2024-08-12,2024-08-12 23:59:59
281.05,283.92,284.33,280.42,6791087827.3,24058790.0,2024-08-13,2024-08-13 23:59:59
284.3,280.32,284.7,280.12,6148973531.0,21757040.0,2024-08-14,2024-08-14 23:59:59
280.5,278.01,280.85,276.73,7984061069.2,28665290.0,2024-08-15,2024-08-15 23:59:59
278.05,274.6,279.0,274.32,7255848404.4,26195850.0,2024-08-16,2024-08-16 23:59:59
275.0,268.17,275.56,265.02,18530524836.8,68626200.0,2024-08-19,2024-08-19 23:59:59
268.35,266.2,269.49,263.36,14489552806.6,54276130.0,2024-08-20,2024-08-20 23:59:59
266.2,266.93,267.8,263.86,9866186881.8,37127480.0,2024-08-21,2024-08-21 23:59:59
266.93,261.6,268.5,260.15,12655851217.7,47907530.0,2024-08-22,2024-08-22 23:59:59
261.61,259.5,262.8,255.56,19878279030.4,76719180.0,2024-08-23,2024-08-23 23:59:59
263.55,265.39,266.95,261.54,13205967280.5,49974250.0,2024-08-26,2024-08-26 23:59:59
265.83,260.5,266.07,259.82,8495741636.8,32345170.0,2024-08-27,2024-08-27 23:59:59
259.9,262.47,262.47,254.99,12416454599.4,47867970.0,2024-08-28,2024-08-28 23:59:59
262.58,260.31,264.19,258.36,9085153605.5,34802250.0,2024-08-29,2024-08-29 23:59:59
260.5,254.45,261.8,254.0,11826212287.4,46118490.0,2024-08-30,2024-08-30 23:59:59
254.03,244.31,254.2,242.65,24225650310.2,97662430.0,2024-09-02,2024-09-02 23:59:59
244.4,244.04,250.0,240.01,25885880197.1,105673360.0,2024-09-03,2024-09-03 23:59:59
244.51,253.01,253.5,242.8,17536502500.4,70652080.0,2024-09-04,2024-09-04 23:59:59
255.0,252.82,258.17,251.11,20008156071.4,78616830.0,2024-09-05,2024-09-05 23:59:59
253.01,254.77,255.35,250.31,10455174955.5,41336330.0,2024-09-06,2024-09-06 23:59:59
256.32,263.31,263.45,255.3,17203253856.9,66128940.0,2024-09-09,2024-09-09 23:59:59
264.61,261.29,264.61,258.7,15137344244.0,57937830.0,2024-09-10,2024-09-10 23:59:59
260.31,258.2,262.0,257.5,9961674795.0,38293710.0,2024-09-11,2024-09-11 23:59:59
257.8,254.93,258.68,252.85,11841477728.8,46358080.0,2024-09-12,2024-09-12 23:59:59
255.19,258.25,259.92,248.75,28260374145.3,111180360.0,2024-09-13,2024-09-13 23:59:59
259.64,263.79,264.37,257.8,13789541715.2,52643180.0,2024-09-16,2024-09-16 23:59:59
264.12,265.99,267.0,260.55,15202488870.0,57565620.0,2024-09-17,2024-09-17 23:59:59
265.73,263.4,267.99,263.15,11523855679.3,43376640.0,2024-09-18,2024-09-18 23:59:59
263.94,264.5,266.19,262.32,9440735658.1,35683170.0,2024-09-19,2024-09-19 23:59:59
264.52,269.08,269.21,264.5,10346363727.7,38767000.0,2024-09-20,2024-09-20 23:59:59
269.3,273.17,273.8,269.3,13432987817.1,49396850.0,2024-09-23,2024-09-23 23:59:59
273.9,272.92,273.94,270.5,10076908612.0,36984140.0,2024-09-24,2024-09-24 23:59:59
272.92,267.8,273.8,267.3,11862922074.2,43803870.0,2024-09-25,2024-09-25 23:59:59
267.54,267.88,269.76,265.41,8524972559.0,31888540.0,2024-09-26,2024-09-26 23:59:59
268.9,268.07,269.7,267.17,5073287299.4,18889430.0,2024-09-27,2024-09-27 23:59:59
269.26,268.49,272.33,268.14,11510452992.3,42519740.0,2024-09-30,2024-09-30 23:59:59
267.6,266.29,268.68,264.0,13875642502.8,52125800.0,2024-10-01,2024-10-01 23:59:59
266.01,259.31,268.0,258.52,12233584613.0,46519200.0,2024-10-02,2024-10-02 23:59:59
259.31,264.25,264.49,257.2,14759403716.9,56534560.0,2024-10-03,2024-10-03 23:59:59
264.96,264.09,265.44,262.11,6861324907.4,25992290.0,2024-10-04,2024-10-04 23:59:59
264.25,263.39,267.0,261.37,7618217009.6,28940600.0,2024-10-07,2024-10-07 23:59:59
263.0,262.4,263.8,261.89,4248218099.7,16163780.0,2024-10-08,2024-10-08 23:59:59
262.42,260.86,263.8,259.59,6531053134.9,25021350.0,2024-10-09,2024-10-09 23:59:59
260.88,259.98,261.64,258.91,4598989252.9,17677230.0,2024-10-10,2024-10-10 23:59:59
259.8,256.94,260.07,256.8,6408762717.8,24848580.0,2024-10-11,2024-10-11 23:59:59
256.15,261.28,263.91,254.1,16646352622.2,64205680.0,2024-10-14,2024-10-14 23:59:59
260.94,262.03,263.7,259.84,6879583803.8,26247370.0,2024-10-15,2024-10-15 23:59:59
262.05,259.5,264.72,258.45,10504935123.6,40206260.0,2024-10-16,2024-10-16 23:59:59
259.5,256.57,260.45,256.03,6366640213.7,24658790.0,2024-10-17,2024-10-17 23:59:59
256.21,257.19,258.9,254.41,7693100993.4,30020250.0,2024-10-18,2024-10-18 23:59:59
257.3,258.21,259.85,256.78,5547686295.3,21471680.0,2024-10-21,2024-10-21 23:59:59
258.1,255.42,258.8,255.25,4381858399.4,17064680.0,2024-10-22,2024-10-22 23:59:59
255.1,252.01,255.9,251.34,7718228941.6,30420950.0,2024-10-23,2024-10-23 23:59:59
252.01,252.64,254.27,250.25,7245386056.0,28764370.0,2024-10-24,2024-10-24 23:59:59
252.72,246.35,255.35,245.7,20126043138.8,80587930.0,2024-10-25,2024-10-25 23:59:59
245.02,242.56,249.0,241.61,17652871569.7,71940990.0,2024-10-28,2024-10-28 23:59:59
243.2,242.66,244.6,239.88,11430089075.7,47134580.0,2024-10-29,2024-10-29 23:59:59
242.7,241.45,246.22,241.11,9721006737.9,39826840.0,2024-10-30,2024-10-30 23:59:59
241.4,237.9,242.8,236.23,13737746155.2,57274130.0,2024-10-31,2024-10-31 23:59:59
237.9,238.03,239.1,234.57,11441541301.6,48370770.0,2024-11-01,2024-11-01 23:59:59
237.9,238.97,240.0,237.71,3558577653.7,14895450.0,2024-11-02,2024-11-02 23:59:59
239.6,239.23,241.2,238.07,6757011275.8,28172270.0,2024-11-05,2024-11-05 23:59:59
247.0,243.6,248.56,242.05,19402189406.5,78965200.0,2024-11-06,2024-11-06 23:59:59
243.26,250.93,251.0,242.16,10948449973.3,44425190.0,2024-11-07,2024-11-07 23:59:59
251.5,255.98,255.99,250.5,14677974806.8,58086370.0,2024-11-08,2024-11-08 23:59:59
257.99,260.73,261.3,256.49,17578684699.6,67847940.0,2024-11-11,2024-11-11 23:59:59
259.99,255.77,260.7,255.27,10539814448.5,40926850.0,2024-11-12,2024-11-12 23:59:59
255.29,254.7,258.96,254.05,11439153914.4,44540020.0,2024-11-13,2024-11-13 23:59:59
254.26,249.52,255.92,248.6,12366776262.5,49011750.0,2024-11-14,2024-11-14 23:59:59
249.31,253.43,254.43,248.05,11113484983.2,44201700.0,2024-11-15,2024-11-15 23:59:59
249.0,248.72,251.94,247.3,12859671851.2,51559910.0,2024-11-18,2024-11-18 23:59:59
249.03,240.59,249.83,239.62,18395321114.9,75474680.0,2024-11-19,2024-11-19 23:59:59
241.82,237.05,243.59,234.74,16837071934.3,70349830.0,2024-11-20,2024-11-20 23:59:59
237.15,240.47,240.94,234.0,17757313155.9,75143570.0,2024-11-21,2024-11-21 23:59:59
240.5,236.0,241.0,234.78,10836393146.5,45621420.0,2024-11-22,2024-11-22 23:59:59
236.0,227.81,237.1,227.25,17727272699.1,76469770.0,2024-11-25,2024-11-25 23:59:59
227.8,223.16,231.9,221.2,21854770442.0,96795030.0,2024-11-26,2024-11-26 23:59:59
223.9,226.3,226.47,219.2,25043210046.8,112457620.0,2024-11-27,2024-11-27 23:59:59
227.0,228.56,229.5,222.48,15359712601.0,67840700.0,2024-11-28,2024-11-28 23:59:59
228.48,236.49,236.99,227.55,16387603634.6,70303900.0,2024-11-29,2024-11-29 23:59:59
237.02,235.17,238.7,234.32,10677792835.0,45142250.0,2024-12-02,2024-12-02 23:59:59
235.29,230.8,235.97,230.26,10536715774.0,45322870.0,2024-12-03,2024-12-03 23:59:59
231.0,224.55,233.79,224.3,16617122007.6,72417390.0,2024-12-04,2024-12-04 23:59:59
224.57,233.48,233.75,222.82,19851593351.8,86989140.0,2024-12-05,2024-12-05 23:59:59
233.63,237.84,238.25,231.52,19088098358.7,81096070.0,2024-12-06,2024-12-06 23:59:59
239.29,237.29,240.51,236.75,12526394065.3,52493640.0,2024-12-09,2024-12-09 23:59:59
238.0,230.82,238.01,230.65,13710391986.5,58740230.0,2024-12-10,2024-12-10 23:59:59
230.5,234.19,234.39,229.22,15026987712.0,64914300.0,2024-12-11,2024-12-11 23:59:59
234.0,229.02,235.95,228.52,13748238586.9,59171170.0,2024-12-12,2024-12-12 23:59:59
228.9,228.7,231.33,227.85,10570497704.4,46124660.0,2024-12-13,2024-12-13 23:59:59
228.62,225.53,229.05,224.38,12350005599.1,54593280.0,2024-12-16,2024-12-16 23:59:59
225.6,226.5,227.49,223.72,10353636763.7,45885470.0,2024-12-17,2024-12-17 23:59:59
226.72,230.15,230.8,224.33,13200949659.8,58056480.0,2024-12-18,2024-12-18 23:59:59
230.16,229.0,234.99,227.71,28715332741.6,124061370.0,2024-12-19,2024-12-19 23:59:59
229.1,257.6,258.98,228.03,58117516791.8,235186220.0,2024-12-20,2024-12-20 23:59:59
260.0,264.9,270.0,256.51,43158379935.7,163165650.0,2024-12-23,2024-12-23 23:59:59
264.94,264.34,266.79,261.02,22159031394.9,83808660.0,2024-12-24,2024-12-24 23:59:59
263.62,271.69,273.0,260.31,33690236575.4,125539910.0,2024-12-25,2024-12-25 23:59:59
272.0,269.56,274.25,269.1,20555363427.4,75735270.0,2024-12-26,2024-12-26 23:59:59
269.61,271.2,272.16,268.57,14113195712.4,52144690.0,2024-12-27,2024-12-27 23:59:59
271.35,272.83,273.99,270.4,10781650537.5,39585910.0,2024-12-28,2024-12-28 23:59:59
274.0,279.43,279.49,273.7,14559469001.2,52633750.0,2024-12-30,2024-12-30 23:59:59
280.0,272.25,280.41,271.8,11853565984.9,43086870.0,2025-01-03,2025-01-03 23:59:59
270.88,274.37,274.41,270.07,7737094495.2,28454750.0,2025-01-06,2025-01-06 23:59:59
273.07,277.0,277.87,273.07,7356165148.5,26634660.0,2025-01-08,2025-01-08 23:59:59
276.71,271.8,278.77,270.73,14491325783.8,52952880.0,2025-01-09,2025-01-09 23:59:59
272.31,278.77,279.53,270.27,19623132401.4,71154220.0,2025-01-10,2025-01-10 23:59:59
280.62,279.8,284.75,278.6,18781966095.5,66601710.0,2025-01-13,2025-01-13 23:59:59
279.84,279.85,282.36,277.41,12888705821.9,46037150.0,2025-01-14,2025-01-14 23:59:59
280.0,282.77,282.82,276.06,14768778206.9,52864450.0,2025-01-15,2025-01-15 23:59:59
283.7,281.8,284.0,281.18,13975953014.3,49453530.0,2025-01-16,2025-01-16 23:59:59
282.2,283.53,284.64,280.19,14674366108.3,51876150.0,2025-01-17,2025-01-17 23:59:59
285.1,278.19,286.23,277.61,19166116805.7,67946640.0,2025-01-20,2025-01-20 23:59:59
279.39,281.85,281.85,276.32,11305302708.9,40478260.0,2025-01-21,2025-01-21 23:59:59
282.0,280.36,284.0,280.2,13286163684.6,47106880.0,2025-01-22,2025-01-22 23:59:59
280.79,280.49,280.79,277.35,10774689057.8,38573410.0,2025-01-23,2025-01-23 23:59:59
281.0,280.74,282.75,279.25,9028740828.2,32155210.0,2025-01-24,2025-01-24 23:59:59
280.72,275.23,280.97,275.01,10825883885.4,39035610.0,2025-01-27,2025-01-27 23:59:59
275.25,278.35,279.26,274.01,10821743892.1,39030820.0,2025-01-28,2025-01-28 23:59:59
278.0,280.36,282.18,277.12,10974299055.3,39161630.0,2025-01-29,2025-01-29 23:59:59
280.44,281.97,282.5,280.36,7888310432.6,28020880.0,2025-01-30,2025-01-30 23:59:59
281.97,280.73,284.11,280.27,11395665602.0,40333120.0,2025-01-31,2025-01-31 23:59:59
280.21,279.55,280.35,278.0,8477125815.3,30373760.0,2025-02-03,2025-02-03 23:59:59
279.55,277.4,281.41,275.7,6685824653.4,23986670.0,2025-02-04,2025-02-04 23:59:59
277.3,282.88,283.89,275.34,12035124307.1,43070410.0,2025-02-05,2025-02-05 23:59:59
283.89,287.15,288.92,282.09,19885584125.2,69363150.0,2025-02-06,2025-02-06 23:59:59
287.66,285.81,288.9,285.08,7924869053.3,27626070.0,2025-02-07,2025-02-07 23:59:59
287.61,289.94,294.55,287.61,21267188580.4,73052590.0,2025-02-10,2025-02-10 23:59:59
290.35,294.06,294.1,289.3,16355814309.0,56009830.0,2025-02-11,2025-02-11 23:59:59
294.3,314.0,314.4,291.3,56277149585.3,185816680.0,2025-02-12,2025-02-12 23:59:59
315.61,310.1,318.72,307.2,36604642922.8,116925810.0,2025-02-13,2025-02-13 23:59:59
315.59,309.87,317.84,303.06,39525316749.6,126690930.0,2025-02-14,2025-02-14 23:59:59
314.0,319.5,319.55,312.31,26824441532.1,84827010.0,2025-02-17,2025-02-17 23:59:59
319.99,312.95,320.92,310.21,26823149077.9,85001770.0,2025-02-18,2025-02-18 23:59:59
313.53,315.91,317.25,311.01,15868701994.0,50484340.0,2025-02-19,2025-02-19 23:59:59
315.91,315.05,317.96,314.02,10477695990.6,33164900.0,2025-02-20,2025-02-20 23:59:59
315.48,314.74,316.69,312.0,10285495344.6,32725520.0,2025-02-21,2025-02-21 23:59:59
314.92,316.03,316.4,313.0,11245263329.0,35730390.0,2025-02-24,2025-02-24 23:59:59
316.03,316.97,318.59,315.62,12313543551.0,38826960.0,2025-02-25,2025-02-25 23:59:59
316.97,310.22,317.45,308.31,23040552826.8,73827020.0,2025-02-26,2025-02-26 23:59:59
310.22,307.1,312.45,305.43,18840933180.5,60936490.0,2025-02-27,2025-02-27 23:59:59
306.01,309.63,310.4,304.05,20165953351.0,65681370.0,2025-02-28,2025-02-28 23:59:59
309.84,310.11,310.94,309.47,352894151.0,1138430.0,2025-03-01,2025-03-01 23:59:56
309.5,307.44,309.63,306.8,580768223.4999995,1885110.0,2025-03-02,2025-03-02 23:59:59
306.45,305.5,307.92,300.2,20184378218.89999,66467290.0,2025-03-03,2025-03-03 23:59:52
306.95,316.4,318.5,306.14,27673062102.69999,88130960.0,2025-03-04,2025-03-04 23:59:56
316.4,313.56,318.3,313.0,18258763571.00001,57792400.0,2025-03-05,2025-03-05 23:59:55
313.6,315.18,317.43,313.57,10074119599.49998,31963110.0,2025-03-06,2025-03-06 23:59:51
315.19,316.92,321.87,310.69,35131355149.59997,110871260.0,2025-03-07,2025-03-07 23:59:55
316.98,317.57,320.63,316.37,12523199814.100004,39315360.0,2025-03-10,2025-03-10 23:59:56
317.7,319.69,321.98,315.57,20743337430.100014,64935150.0,2025-03-11,2025-03-11 23:59:55
319.99,318.39,320.9,315.8,13354955867.099998,41964450.0,2025-03-12,2025-03-12 23:59:55
318.39,316.37,320.5,312.5,24872186568.70003,78552090.0,2025-03-13,2025-03-13 23:59:56
316.0,320.51,321.1,314.12,16479988152.40002,51762530.0,2025-03-14,2025-03-14 23:59:55
320.69,320.74,321.3,319.82,466802663.6,1455280.0,2025-03-15,2025-03-15 23:59:56
320.52,323.44,323.5,320.52,1832146317.8999987,5680630.0,2025-03-16,2025-03-16 23:59:56
323.44,326.02,326.97,322.62,19106596632.19997,58701560.0,2025-03-17,2025-03-17 23:59:57
326.2,324.06,329.77,323.82,23858590971.49999,72947120.0,2025-03-18,2025-03-18 23:59:56
324.5,325.3,326.88,322.3,12924249479.50001,39800890.0,2025-03-19,2025-03-19 23:59:55
325.41,324.05,326.0,321.8,13733625340.500011,42356790.0,2025-03-20,2025-03-20 23:59:59
323.8,324.57,324.95,323.8,79094791.6,243660.0,2025-03-21,2025-03-21 07:33:05
